"SubscriptionType","MonthlyRevenue","JoinDate","LastPaymentDate","Country","Age","Gender","Device"
"Basic",10,"18-10-22","25-06-23","Italy",30,"Female","Smart TV"
"Premium",15,"03-10-22","24-06-23","United States",27,"Male","Smart TV"
"Basic",11,"03-05-22","28-06-23","Canada",51,"Male","Smart TV"
"Standard",13,"25-05-22","26-06-23","United Kingdom",49,"Female","Smartphone"
"Premium",15,"05-11-22","25-06-23","Australia",43,"Male","Laptop"
"Basic",12,"21-08-22","24-06-23","Germany",42,"Male","Smartphone"
"Premium",13,"21-09-22","23-06-23","France",45,"Male","Laptop"
"Basic",10,"23-11-21","23-06-23","Brazil",36,"Male","Smartphone"
"Standard",12,"06-10-22","27-06-23","Mexico",48,"Male","Smartphone"
"Standard",13,"05-11-22","23-06-23","Spain",38,"Male","Smart TV"
"Basic",14,"07-01-23","23-06-23","Italy",43,"Female","Tablet"
"Premium",15,"06-10-22","23-06-23","United States",47,"Male","Laptop"
"Basic",15,"24-06-22","28-06-23","Canada",48,"Female","Smart TV"
"Standard",13,"24-06-22","26-06-23","United Kingdom",47,"Male","Smart TV"
"Premium",15,"05-11-22","25-06-23","Australia",32,"Male","Tablet"
"Basic",13,"18-07-22","26-06-23","Germany",47,"Female","Smart TV"
"Premium",12,"13-09-22","26-06-23","France",41,"Female","Smart TV"
"Basic",12,"10-08-22","22-06-23","Brazil",49,"Male","Laptop"
"Standard",15,"21-09-22","23-06-23","Mexico",28,"Male","Laptop"
"Standard",13,"24-03-23","23-06-23","Spain",40,"Male","Smartphone"
"Basic",12,"02-05-22","23-06-23","Italy",43,"Female","Smartphone"
"Premium",12,"11-05-22","27-06-23","United States",42,"Male","Smartphone"
"Basic",14,"10-06-22","22-06-23","Canada",28,"Male","Smart TV"
"Standard",14,"31-08-22","24-06-23","United Kingdom",30,"Female","Tablet"
"Premium",10,"17-08-22","26-06-23","Australia",33,"Male","Smart TV"
"Basic",11,"05-05-22","26-06-23","Germany",35,"Female","Laptop"
"Basic",10,"06-10-22","25-06-23","France",38,"Male","Tablet"
"Basic",12,"08-11-22","24-06-23","Brazil",49,"Female","Laptop"
"Standard",15,"27-11-22","28-06-23","Mexico",39,"Female","Smartphone"
"Premium",13,"17-11-22","27-06-23","Spain",46,"Female","Smart TV"
"Basic",10,"15-12-22","23-06-23","Italy",47,"Female","Laptop"
"Basic",15,"12-12-22","25-06-23","United States",30,"Female","Laptop"
"Premium",14,"23-11-22","27-06-23","Canada",33,"Female","Tablet"
"Standard",11,"25-12-22","24-06-23","United Kingdom",47,"Male","Smartphone"
"Standard",11,"11-03-23","27-06-23","Australia",27,"Male","Laptop"
"Basic",14,"18-11-22","27-06-23","Germany",28,"Male","Tablet"
"Premium",15,"19-08-22","25-06-23","France",47,"Male","Smartphone"
"Standard",14,"27-09-22","24-06-23","Brazil",30,"Male","Laptop"
"Basic",13,"19-10-22","28-06-23","Mexico",47,"Female","Smartphone"
"Standard",10,"21-12-22","26-06-23","Spain",51,"Female","Smart TV"
"Premium",15,"27-10-22","25-06-23","Italy",39,"Male","Smartphone"
"Basic",10,"23-10-22","24-06-23","United States",45,"Male","Tablet"
"Premium",15,"19-04-22","25-06-23","Canada",31,"Male","Laptop"
"Standard",11,"05-04-22","26-06-23","United Kingdom",29,"Male","Laptop"
"Basic",11,"11-03-22","26-06-23","Australia",42,"Female","Tablet"
"Standard",14,"25-05-22","25-06-23","Germany",49,"Male","Tablet"
"Premium",13,"16-04-22","26-06-23","France",42,"Male","Laptop"
"Basic",13,"07-04-22","24-06-23","Brazil",29,"Male","Smartphone"
"Standard",10,"11-12-22","28-06-23","Mexico",29,"Male","Tablet"
"Premium",12,"20-01-23","26-06-23","Spain",49,"Male","Tablet"
"Basic",14,"12-01-23","25-06-23","Italy",32,"Male","Laptop"
"Premium",11,"29-04-22","24-06-23","United States",35,"Female","Tablet"
"Basic",12,"27-04-22","26-06-23","Canada",39,"Female","Smartphone"
"Standard",15,"03-06-22","25-06-23","United Kingdom",40,"Male","Smartphone"
"Standard",14,"23-04-22","25-06-23","Australia",39,"Female","Tablet"
"Basic",10,"22-04-22","26-06-23","Germany",47,"Female","Laptop"
"Premium",13,"12-04-22","25-06-23","France",37,"Female","Smart TV"
"Basic",15,"23-05-22","26-06-23","Brazil",27,"Female","Smartphone"
"Standard",13,"19-10-22","26-06-23","Mexico",49,"Female","Laptop"
"Premium",10,"03-12-22","26-06-23","Spain",30,"Female","Tablet"
"Basic",14,"26-09-22","25-06-23","Italy",36,"Male","Laptop"
"Premium",15,"16-06-22","27-06-23","United States",33,"Male","Smartphone"
"Basic",13,"16-05-22","25-06-23","Canada",30,"Female","Laptop"
"Standard",15,"26-05-22","26-06-23","United Kingdom",36,"Female","Tablet"
"Standard",13,"26-04-22","25-06-23","Australia",28,"Female","Laptop"
"Basic",11,"12-05-22","25-06-23","Germany",47,"Female","Tablet"
"Premium",12,"01-03-22","25-06-23","France",33,"Female","Smart TV"
"Basic",13,"10-07-22","24-06-23","Brazil",49,"Female","Laptop"
"Standard",15,"16-07-22","27-06-23","Mexico",44,"Female","Smart TV"
"Premium",13,"02-09-22","26-06-23","Spain",47,"Male","Smart TV"
"Basic",11,"18-09-22","26-06-23","Italy",37,"Female","Tablet"
"Premium",10,"08-07-22","25-06-23","United States",46,"Male","Laptop"
"Basic",14,"26-06-22","27-06-23","Canada",50,"Female","Smartphone"
"Standard",11,"05-08-22","25-06-23","United Kingdom",50,"Male","Laptop"
"Standard",14,"19-08-22","27-06-23","Australia",37,"Male","Laptop"
"Basic",11,"26-08-22","24-06-23","Germany",50,"Female","Smartphone"
"Premium",13,"09-06-22","24-06-23","France",45,"Female","Smart TV"
"Basic",14,"27-09-22","23-06-23","Brazil",45,"Male","Tablet"
"Standard",10,"18-10-22","27-06-23","Mexico",49,"Female","Laptop"
"Premium",14,"31-10-22","25-06-23","Spain",39,"Female","Tablet"
"Basic",11,"13-10-22","25-06-23","Italy",45,"Female","Tablet"
"Premium",11,"04-07-22","27-06-23","United States",49,"Female","Smart TV"
"Basic",12,"26-06-22","27-06-23","Canada",31,"Female","Tablet"
"Standard",13,"31-07-22","24-06-23","United Kingdom",42,"Female","Smart TV"
"Standard",12,"27-07-22","24-06-23","Australia",37,"Male","Smartphone"
"Basic",12,"30-07-22","25-06-23","Germany",30,"Male","Smart TV"
"Premium",11,"06-08-22","25-06-23","France",40,"Male","Smartphone"
"Basic",15,"16-09-22","24-06-23","Brazil",45,"Female","Smartphone"
"Standard",15,"05-01-23","23-06-23","Mexico",36,"Female","Tablet"
"Premium",11,"10-12-22","24-06-23","Spain",41,"Male","Laptop"
"Basic",14,"22-11-22","26-06-23","Italy",49,"Female","Laptop"
"Premium",15,"15-11-22","27-06-23","United States",40,"Male","Tablet"
"Basic",11,"28-10-22","26-06-23","Canada",36,"Male","Smart TV"
"Standard",12,"08-09-22","24-06-23","United Kingdom",49,"Female","Smart TV"
"Standard",13,"30-06-22","28-06-23","Australia",43,"Female","Laptop"
"Basic",13,"02-09-22","27-06-23","Germany",50,"Female","Smartphone"
"Premium",14,"08-10-22","24-06-23","France",51,"Female","Smart TV"
"Basic",15,"13-11-22","25-06-23","Brazil",44,"Male","Smart TV"
"Standard",12,"15-11-22","28-06-23","Mexico",27,"Male","Tablet"
"Premium",12,"16-11-22","25-06-23","Spain",46,"Female","Smartphone"
"Basic",12,"26-11-22","27-06-23","Italy",29,"Male","Tablet"
"Basic",12,"26-11-22","25-06-23","United States",47,"Male","Smartphone"
"Basic",10,"12-12-22","26-06-23","Canada",48,"Female","Smartphone"
"Standard",12,"08-01-23","25-06-23","United Kingdom",34,"Female","Smartphone"
"Premium",15,"27-11-22","29-06-23","Australia",40,"Female","Smartphone"
"Basic",14,"11-10-22","27-06-23","Germany",48,"Female","Smartphone"
"Basic",10,"27-09-22","26-06-23","France",35,"Male","Smartphone"
"Premium",12,"30-09-22","24-06-23","Brazil",51,"Female","Smartphone"
"Standard",10,"04-11-22","27-06-23","Mexico",39,"Male","Smart TV"
"Standard",13,"04-11-22","27-06-23","Spain",29,"Male","Smartphone"
"Basic",12,"30-10-22","26-06-23","Italy",51,"Male","Laptop"
"Premium",11,"29-10-22","24-06-23","United States",43,"Male","Smartphone"
"Standard",11,"30-08-22","27-06-23","Canada",28,"Male","Smartphone"
"Basic",15,"07-07-22","26-06-23","United Kingdom",50,"Female","Smart TV"
"Standard",14,"26-05-22","27-06-23","Australia",44,"Female","Laptop"
"Premium",11,"17-05-22","25-06-23","Germany",50,"Male","Laptop"
"Basic",11,"08-05-22","26-06-23","France",39,"Female","Smartphone"
"Premium",13,"07-07-22","25-06-23","Brazil",46,"Female","Tablet"
"Standard",15,"17-07-22","28-06-23","Mexico",48,"Male","Smartphone"
"Basic",15,"23-12-22","26-06-23","Spain",38,"Male","Smart TV"
"Standard",13,"27-06-22","26-06-23","Italy",38,"Male","Smartphone"
"Premium",13,"31-05-22","27-06-23","United States",47,"Male","Laptop"
"Basic",12,"02-06-22","26-06-23","Canada",37,"Male","Laptop"
"Standard",11,"25-05-22","27-06-23","United Kingdom",33,"Male","Laptop"
"Premium",15,"26-04-22","26-06-23","Australia",28,"Male","Smartphone"
"Basic",13,"20-04-22","26-06-23","Germany",47,"Male","Smart TV"
"Premium",11,"03-05-22","25-06-23","France",38,"Female","Smartphone"
"Basic",12,"07-07-22","27-06-23","Brazil",27,"Male","Smart TV"
"Standard",13,"15-09-22","26-06-23","Mexico",34,"Male","Smartphone"
"Standard",14,"16-09-22","27-06-23","Spain",42,"Female","Smartphone"
"Basic",14,"09-08-22","26-06-23","Italy",28,"Male","Laptop"
"Premium",15,"25-06-22","27-06-23","United States",30,"Male","Laptop"
"Basic",11,"30-05-22","26-06-23","Canada",38,"Female","Smartphone"
"Standard",15,"21-05-22","25-06-23","United Kingdom",45,"Female","Tablet"
"Premium",12,"20-05-22","27-06-23","Australia",48,"Female","Smart TV"
"Basic",13,"20-05-22","26-06-23","Germany",46,"Female","Smart TV"
"Premium",12,"30-05-22","26-06-23","France",34,"Male","Tablet"
"Basic",13,"17-06-22","25-06-23","Brazil",46,"Male","Laptop"
"Standard",11,"16-07-22","28-06-23","Mexico",41,"Female","Smartphone"
"Standard",15,"05-08-22","26-06-23","Spain",28,"Male","Smartphone"
"Basic",10,"17-07-22","26-06-23","Italy",27,"Female","Smartphone"
"Premium",13,"04-07-22","25-06-23","United States",27,"Female","Smart TV"
"Basic",12,"13-07-22","26-06-23","Canada",28,"Female","Tablet"
"Standard",15,"25-07-22","24-06-23","United Kingdom",46,"Male","Smartphone"
"Premium",10,"09-08-22","27-06-23","Australia",51,"Male","Smartphone"
"Basic",11,"05-08-22","25-06-23","Germany",32,"Female","Smart TV"
"Premium",10,"17-08-22","26-06-23","France",44,"Male","Tablet"
"Basic",11,"08-09-22","27-06-23","Brazil",44,"Female","Laptop"
"Standard",13,"16-10-22","28-06-23","Mexico",34,"Female","Smart TV"
"Standard",13,"15-10-22","25-06-23","Spain",29,"Female","Laptop"
"Basic",12,"04-09-22","25-06-23","Italy",47,"Male","Smart TV"
"Premium",14,"20-08-22","26-06-23","United States",41,"Male","Laptop"
"Basic",10,"10-08-22","26-06-23","Canada",36,"Female","Smartphone"
"Standard",12,"02-08-22","25-06-23","United Kingdom",28,"Female","Laptop"
"Premium",10,"01-08-22","24-06-23","Australia",27,"Female","Tablet"
"Basic",15,"06-08-22","25-06-23","Germany",34,"Female","Laptop"
"Premium",14,"09-08-22","25-06-23","France",34,"Female","Smart TV"
"Basic",13,"12-09-22","26-06-23","Brazil",37,"Female","Tablet"
"Standard",14,"27-09-22","26-06-23","Mexico",34,"Female","Laptop"
"Standard",15,"12-11-22","24-06-23","Spain",50,"Female","Laptop"
"Basic",12,"13-11-22","27-06-23","Italy",34,"Female","Laptop"
"Premium",12,"02-11-22","28-06-23","United States",33,"Female","Smart TV"
"Basic",11,"30-10-22","25-06-23","Canada",33,"Male","Smart TV"
"Standard",15,"30-06-22","26-06-23","United Kingdom",46,"Male","Smartphone"
"Premium",14,"04-08-22","28-06-23","Australia",39,"Female","Smartphone"
"Basic",10,"01-09-22","27-06-23","Germany",42,"Female","Laptop"
"Premium",14,"14-10-22","27-06-23","France",50,"Female","Laptop"
"Basic",10,"16-10-22","26-06-23","Brazil",43,"Male","Smartphone"
"Standard",14,"20-10-22","28-06-23","Mexico",51,"Male","Smart TV"
"Standard",15,"20-11-22","25-06-23","Spain",34,"Female","Smart TV"
"Basic",12,"25-11-22","30-06-23","Italy",48,"Male","Smartphone"
"Premium",13,"04-12-22","27-06-23","United States",29,"Female","Tablet"
"Basic",11,"12-12-22","27-06-23","Canada",43,"Female","Laptop"
"Standard",14,"09-12-22","25-06-23","United Kingdom",39,"Female","Laptop"
"Premium",10,"15-10-22","29-06-23","Australia",50,"Male","Laptop"
"Basic",14,"03-10-22","27-06-23","Germany",45,"Male","Laptop"
"Basic",12,"01-10-22","27-06-23","France",48,"Female","Tablet"
"Basic",13,"02-11-22","24-06-23","Brazil",40,"Male","Smartphone"
"Standard",14,"03-11-22","27-06-23","Mexico",41,"Male","Tablet"
"Premium",10,"30-10-22","27-06-23","Spain",27,"Male","Smartphone"
"Basic",11,"30-10-22","28-06-23","Italy",36,"Male","Laptop"
"Basic",10,"27-09-22","24-06-23","United States",36,"Female","Laptop"
"Premium",11,"14-09-22","27-06-23","Canada",44,"Male","Tablet"
"Standard",12,"11-06-22","26-06-23","United Kingdom",45,"Male","Tablet"
"Standard",12,"11-06-22","29-06-23","Australia",33,"Female","Smartphone"
"Basic",13,"24-05-22","26-06-23","Germany",47,"Male","Smart TV"
"Premium",13,"06-07-22","27-06-23","France",45,"Male","Tablet"
"Standard",11,"08-07-22","28-06-23","Brazil",29,"Female","Smart TV"
"Basic",13,"27-10-22","27-06-23","Mexico",31,"Male","Smart TV"
"Standard",11,"09-08-22","28-06-23","Spain",31,"Male","Smartphone"
"Premium",15,"14-06-22","26-06-23","Italy",49,"Female","Smartphone"
"Basic",15,"07-06-22","27-06-23","United States",29,"Female","Smartphone"
"Premium",12,"27-05-22","26-06-23","Canada",50,"Male","Laptop"
"Standard",13,"27-05-22","27-06-23","United Kingdom",36,"Female","Laptop"
"Basic",10,"21-04-22","26-06-23","Australia",28,"Male","Laptop"
"Standard",15,"28-04-22","27-06-23","Germany",47,"Female","Smart TV"
"Premium",12,"27-05-22","25-06-23","France",50,"Female","Laptop"
"Basic",15,"25-08-22","28-06-23","Brazil",44,"Female","Tablet"
"Standard",10,"02-09-22","27-06-23","Mexico",39,"Female","Laptop"
"Premium",14,"22-08-22","26-06-23","Spain",32,"Female","Smartphone"
"Basic",15,"02-08-22","27-06-23","Italy",30,"Female","Laptop"
"Premium",12,"22-06-22","27-06-23","United States",33,"Female","Smartphone"
"Basic",15,"04-06-22","27-06-23","Canada",44,"Male","Smartphone"
"Standard",14,"31-05-22","26-06-23","United Kingdom",40,"Male","Smartphone"
"Standard",15,"22-05-22","27-06-23","Australia",32,"Male","Tablet"
"Basic",13,"29-05-22","27-06-23","Germany",32,"Male","Tablet"
"Premium",11,"11-06-22","27-06-23","France",30,"Male","Smartphone"
"Basic",12,"06-07-22","26-06-23","Brazil",32,"Female","Smartphone"
"Standard",12,"26-07-22","27-06-23","Mexico",45,"Female","Tablet"
"Premium",11,"22-07-22","25-06-23","Spain",35,"Female","Smart TV"
"Basic",10,"06-07-22","26-06-23","Italy",40,"Female","Smart TV"
"Premium",14,"08-07-22","26-06-23","United States",29,"Female","Tablet"
"Basic",14,"22-07-22","26-06-23","Canada",31,"Male","Tablet"
"Standard",15,"24-07-22","27-06-23","United Kingdom",43,"Female","Smart TV"
"Standard",11,"28-07-22","28-06-23","Australia",34,"Male","Smart TV"
"Basic",10,"11-08-22","25-06-23","Germany",47,"Female","Tablet"
"Premium",12,"02-09-22","26-06-23","France",35,"Male","Laptop"
"Basic",13,"11-10-22","27-06-23","Brazil",36,"Male","Laptop"
"Standard",12,"15-10-22","27-06-23","Mexico",33,"Male","Tablet"
"Premium",13,"05-10-22","25-06-23","Spain",30,"Female","Laptop"
"Basic",14,"13-09-22","25-06-23","Italy",44,"Female","Smartphone"
"Premium",13,"24-08-22","26-06-23","United States",44,"Female","Laptop"
"Basic",11,"09-08-22","26-06-23","Canada",41,"Female","Laptop"
"Standard",13,"06-08-22","25-06-23","United Kingdom",46,"Male","Smart TV"
"Standard",13,"07-08-22","26-06-23","Australia",42,"Female","Smartphone"
"Basic",10,"08-08-22","25-06-23","Germany",48,"Female","Smart TV"
"Premium",15,"31-08-22","26-06-23","France",37,"Male","Tablet"
"Basic",14,"21-09-22","28-06-23","Brazil",29,"Male","Smartphone"
"Standard",14,"05-10-22","26-06-23","Mexico",30,"Male","Smart TV"
"Premium",14,"02-11-22","26-06-23","Spain",28,"Male","Smartphone"
"Basic",10,"02-11-22","28-06-23","Italy",44,"Female","Smartphone"
"Premium",11,"02-11-22","28-06-23","United States",34,"Female","Smart TV"
"Basic",10,"20-09-22","26-06-23","Canada",38,"Male","Laptop"
"Standard",14,"10-08-22","26-06-23","United Kingdom",34,"Female","Smartphone"
"Standard",10,"16-08-22","28-06-23","Australia",40,"Female","Laptop"
"Basic",15,"12-10-22","27-06-23","Germany",32,"Female","Tablet"
"Premium",11,"14-10-22","30-06-23","France",38,"Male","Smart TV"
"Basic",15,"18-10-22","26-06-23","Brazil",39,"Male","Smartphone"
"Standard",12,"11-11-22","28-06-23","Mexico",34,"Female","Smart TV"
"Premium",11,"20-11-22","26-06-23","Spain",41,"Male","Smartphone"
"Basic",15,"21-11-22","30-06-23","Italy",43,"Female","Tablet"
"Premium",12,"25-11-22","28-06-23","United States",36,"Female","Laptop"
"Basic",11,"08-12-22","27-06-23","Canada",31,"Male","Laptop"
"Standard",12,"01-11-22","25-06-23","United Kingdom",47,"Female","Smart TV"
"Standard",14,"12-10-22","29-06-23","Australia",48,"Male","Smart TV"
"Basic",11,"13-10-22","27-06-23","Germany",36,"Male","Laptop"
"Premium",12,"17-10-22","29-06-23","France",41,"Male","Smart TV"
"Basic",13,"23-10-22","25-06-23","Brazil",32,"Male","Laptop"
"Standard",13,"24-10-22","28-06-23","Mexico",28,"Male","Smartphone"
"Premium",12,"25-10-22","27-06-23","Spain",46,"Female","Smartphone"
"Basic",11,"22-10-22","29-06-23","Italy",46,"Female","Smartphone"
"Basic",11,"30-09-22","25-06-23","United States",47,"Male","Tablet"
"Basic",11,"06-09-22","27-06-23","Canada",31,"Female","Tablet"
"Standard",10,"18-06-22","26-06-23","United Kingdom",44,"Female","Tablet"
"Premium",10,"12-06-22","28-06-23","Australia",39,"Female","Laptop"
"Basic",14,"17-06-22","28-06-23","Germany",44,"Female","Laptop"
"Basic",12,"20-06-22","27-06-23","France",39,"Female","Smartphone"
"Premium",12,"27-08-22","28-06-23","Brazil",37,"Male","Laptop"
"Standard",14,"13-08-22","27-06-23","Mexico",47,"Female","Laptop"
